,uid,iid,score,review,date
0,950,812,3.9592158550114385,excellent meal !!! tenderloin mac cheese ... awesome sunday night 1 / 2 price bottle love place ,2015-02-16 03:03:17
1,1214,31,2.352801412962434,probably worst buffet las vegas this place make already - - great vegas buffet glendale ca look good ( http :// www yelp com / biz / vega - seafood - buffet - glendale # hrid : jniwxv7pdciru7phaetmra ) i bet imperial palace ' buffet ( one ?) better i know flamingo buffet the line get like wait riddler ' revenge six flags magic mountain too bad ' store much excitement usually people line vega buffet food actually good this line give everyone stay hotel two one meal voucher i know i one when finally get think line finally wrong you enter line get food from pathetic sushi selection chow mein maker g0dd @ mn salad bar line line lines by point i starve the salad maker ' even help there 1 lady help 25 people line ti would please hire employee i barely try anything buffet i stick american / bbq section their ( spare ) rib dry chicken ok i pile collard green honestly i hungry i eat whatever shut belly the dessert memorable though i love buffet cooky i back .. unless i get another free voucher .. which may likely i never want stay ti it ' ghetto hotel need destroy already time new skyscraper hotel ,2012-06-26 19:10:08
2,272,377,4.738741619699693,we bring ipad mini fix they fairly price knowledgeable they fix 1 day we definitely use ,2016-10-15 02:38:08
3,921,8,3.0528922388350628,why we went here : - dedicate meal day buffet lunch - first buffet go ( locate another hotel i forget name ) turn u several guy group ' sleeved shirt upon entrance the look ( from the outside / inside ): - hard miss open space nothing food - look somewhat like food court the way it works : - go entrance cash register - pay meal indicate many party - assign seat accord big party - unlimited beer wine go along buffet meal what they have : - dessert - cold item ( e meat cheese like drink wine ; salad area ) - asian - latino - american - carving - italian - bar - seafood what we had : - little bite everything - latino portion sad authentic - asian portion fairly decent - cold item portion good meat cheese ; salad ' look fresh - dessert ok - carve seafood station point ( i ' know seafood personally lot people group keep go back station ) - thing italian section selectively better others ( e pasta ) customer service : - register people ' pleasant - seat attendant very welcome - bartender work fairly slow hard time remember 2 drink order ,2015-07-15 20:25:10
4,594,670,4.02258310946956,so good i love atmosphere food it ' always great place go groupo friend recommended ,2015-04-14 16:40:09
5,454,964,3.975226194348139,i never hear cafe rio i move vegas i glad i discover yummy place i huge fan barbacoa quesadilla the portion meat cheese generous i never problem food employee i love i call order walk right register pay leave time try barbacoa !!! ,2016-03-13 02:09:01
6,1773,740,3.6976981034185767,this buffet best quality food variety las vegas hand server seem bite overwhelm stress get stiffed foreign visitor ,2017-01-10 23:54:13
7,32,30,4.755513271493411,i love location christina server morning fantastic as former waitress i understand hectic overwhelm morning shift get attentive friendly always keep cool even ton table the food bring u within ten minute order ( successfully tame hangry beast brew ) modification order do correctly the food pretty good -- i highly recommend banana nutella crepe overall i impress recent visit keep good work ,2016-11-21 20:14:25
8,2024,885,3.9268983607563506,pretty casual place good food cocktail beer list plain ambiance only really good large group want play pool otherwise might try twice ' necessarily worth detour ,2015-12-07 21:56:30
9,124,621,4.243540318348275,i go ago i loved my pizza amazing atmosphere seriously cute i wait line order food worth wait love place ,2015-08-06 20:53:38
10,49,24,2.7586720212811877,having din many vegas buffet ( wynn paris mirage etc .) i find underwhelmed everyone raf bellagio buffet i keep wish i go wynn the decor decent quality food good ' much assortment i go 4th july brunch around 11 : 30am sushi bar ' open single pasta dish slice meat i get fatty veiny drink take 20 + minute arrive i say fruit fresh yummy ( melon berry etc .) dessert good ' enough make want come back ever ,2010-07-07 16:03:41
