uid,iid,score,review,date
1,1,1.0,Total bill for this horrible service? Over $8Gs. These crooks actually had the nerve to charge us $69 for 3 pills. I checked online the pills can be had for 19 cents EACH! Avoid Hospital ERs at all costs.,2013-05-07 04:34:36
1,1,1.0,Total bill for this horrible service? Over $8Gs. These crooks actually had the nerve to charge us $69 for 3 pills. I checked online the pills can be had for 19 cents EACH! Avoid Hospital ERs at all costs.,2013-05-07 04:34:36
2,2,5.0,"I have to say that this office really has it together, they are so organized and friendly!  Dr. J. Phillipp is a great dentist, very friendly and professional.  The dental assistants that helped in my procedure were amazing, Jewel and Bailey helped me to feel comfortable!  I don't have dental insurance, but they have this insurance through their office you can purchase for $80 something a year and this gave me 25% off all of my dental work, plus they helped me get signed up for care credit which I knew nothing about before this visit!  I highly recommend this office for the nice synergy the whole office has!",2016-11-09 20:09:03
1,1,1.0,Total bill for this horrible service? Over $8Gs. These crooks actually had the nerve to charge us $69 for 3 pills. I checked online the pills can be had for 19 cents EACH! Avoid Hospital ERs at all costs.,2013-05-07 04:34:36
4,4,5.0,"Our family LOVES the food here. Quick, friendly, delicious, and a great restaurant to take kids to. 5 stars!",2017-03-27 01:14:37
3,3,4.0,Great lunch today. Staff was very helpful in assisting with selections and knowledgeable on the ingredients. We enjoyed the BBQ chicken with tika masala sauce and really good naan bread. The biryani with chicken was also yummy! Fun to see the food being prepared in the tandoori ovens. Great addition to the fast casual scene in Cleveland.,2015-01-03 22:47:34
4,4,5.0,"Our family LOVES the food here. Quick, friendly, delicious, and a great restaurant to take kids to. 5 stars!",2017-03-27 01:14:37
6,6,5.0,Best chinese resto. Highly recommended. 5 stars. Let us support this business. Best in the west valley. Trust me you wont gi wrong coming to this place,2016-03-07 01:03:08
4,4,5.0,"Our family LOVES the food here. Quick, friendly, delicious, and a great restaurant to take kids to. 5 stars!",2017-03-27 01:14:37
7,7,5.0,"This place epitomizes the rumored transformation that is in the process of taking place in Pittsburgh. Great food, drinks, and service, but the atmosphere is second to none. Definitely a must visit for locals and visitors alike! You will not feel like you're in ""Pittsburgh"".",2015-06-21 00:59:14
4,4,5.0,"Our family LOVES the food here. Quick, friendly, delicious, and a great restaurant to take kids to. 5 stars!",2017-03-27 01:14:37
12,11,4.0,Met an old close friend for dinner at Portofino.  Great intimate dinning with class. Excellent pasta and meat dishes. Delightful service and great drinks. Will come back!,2014-12-17 17:46:03
7,7,5.0,"This place epitomizes the rumored transformation that is in the process of taking place in Pittsburgh. Great food, drinks, and service, but the atmosphere is second to none. Definitely a must visit for locals and visitors alike! You will not feel like you're in ""Pittsburgh"".",2015-06-21 00:59:14
9,9,5.0,"Best Wonton soup ever!!! Delicious food and great service. We had Chicken Satay, Roti C., Wonton soup, and one of the fried noodle and shrimp dishes. Definitely will be back!",2015-11-06 00:02:50
1,1,1.0,Total bill for this horrible service? Over $8Gs. These crooks actually had the nerve to charge us $69 for 3 pills. I checked online the pills can be had for 19 cents EACH! Avoid Hospital ERs at all costs.,2013-05-07 04:34:36
3,3,4.0,Great lunch today. Staff was very helpful in assisting with selections and knowledgeable on the ingredients. We enjoyed the BBQ chicken with tika masala sauce and really good naan bread. The biryani with chicken was also yummy! Fun to see the food being prepared in the tandoori ovens. Great addition to the fast casual scene in Cleveland.,2015-01-03 22:47:34
