,uid,iid,score,review
0,1,1,1.0,total bill horrible service over $ 8gs these crook actually nerve charge u $ 69 3 pill i check online pill 19 cent each avoid hospital ers cost 
2,2,2,5.0,i say office really together organize friendly dr j phillipp great dentist friendly professional the dental assistant help procedure amaze jewel bailey help feel comfortable i ' dental insurance insurance office purchase $ 80 something year give 25 % dental work plus help get sign care credit i know nothing visit i highly recommend office nice synergy whole office 
4,4,4,5.0,our family loves food quick friendly delicious great restaurant take kid 5 star 
5,3,3,4.0,great lunch today staff helpful assist selection knowledgeable ingredient we enjoy bbq chicken tika masala sauce really good naan bread the biryani chicken also yummy fun see food prepare tandoori oven great addition fast casual scene cleveland 
7,6,6,5.0,best chinese resto highly recommend 5 star let u support business best west valley trust wont gi wrong come place 
9,7,7,5.0,"this place epitomize rumor transformation process take place pittsburgh great food drink service atmosphere second none definitely must visit local visitor alike you feel like ' pittsburgh "". "
11,12,11,4.0,met old close friend dinner portofino great intimate din class excellent pasta meat dish delightful service great drink will come back 
13,9,9,5.0,"best wonton soup ever !!! delicious food great service we chicken satay roti c ., wonton soup one fry noodle shrimp dish definitely back "
16,16,15,3.0,the decor everything int restaurant really nice sheik look we get resting panda whiskey sour taste drink we start foo foo plater ( able try bite everything ). it pretty good actually i ' highly recommend our server ( believe name nicky ) super awesome really nice helpful she decide get pork belly ramen two sushi roll the ramen good little salty i ' recommend then receive spider roll great next crispy roll problem arise we wait 45 minute one roll after half hour finally bring u different roll apologize take long apparently ' crispy rice prepped take long i server although server come apologize several time probably would good idea manager come apologize we finally get okay end comping nice i ' give place one try ... but i limey ' order crispy rice roll 
18,18,17,5.0,amazing !!! clean pretty best service i ' las vegas everyone nice and design perfect 
20,20,19,2.0,"the reason i ' even give place 2 star food drink their service however probably worst i ' ever i use ( emphasis tense ) go every tuesday trivia night ( guy host awesome ). my service absolutely horrible every time except girl name jess wait u the rest waitress completely incompetent utterly rude bat when begin order appetizer waitress stop u ask go complicate ."" she forget put order 1 3 appetizer order it take 15 min get 2 even bring attention ' even apologize after 35mins someone else bring food finally go bar ask someone come take drink order task also mess ( i order special big as margeritas i receive small mason jar mostly ice ). they tell ' free honestly ' even worth after time i saw waitress visibly talk u point another waitress completely unprofessional a different waitress bring u check mess i waitress tuesday accompany crummy service that ' i realize ' bad busy night ( tuesday cry loud ), woman really bad customer service definitely not recommend go !!! don ' know exactly original waitress check say joanne g will also post experience facebook hope get better train care staff "
21,17,16,5.0,best thai food ever love mango curry especially everything they great bubble tea very nice service polite 
22,23,22,5.0,ikea .... experience i adore ikea there nothing better see piece ' functionality work room hence showroom when go ikea simply must enjoy top floor showroom area what i would give ikea nc i get first apartment not item affordable see ikea ' recommendation decorate supply organize live space 640 sq foot miracle it totally work somehow i find want go live space small ikea intimidate ' size so much stuff well worth i always go ikea list item i need home i always find also find much more leave the greatest part ikea price there reason get furniture item load car / truck / van purchase ... save cost ikea this good thing save pass along shopper do favor plan day go spend hour upstairs showroom lunch cafe .... rest bite venture downstairs get stuff heart desire ikea .... experience 
26,21,20,5.0,wild every night my favorite place hand - az the night life contagious iv never disappoint sunday fun day every sunday corn hole competition crazy drink special like penny refill !! you also try duck pork taco hefe hamburger my favorite margarita menu la chica flaca if want fun place get lunch drink look go crazy night spot 
27,26,25,4.0,went friday since i stroll around venetian come across place the wait ' bad around 1pm ( probably 25 minute max ). this place serf variety latin american cuisine include tapa taco burger it ' standard price vegas i order brisket taco i ' feel taste anything ordinary service okay i think really awesome server ask party right away allergy item ' enjoy eat however portion smaller side ' perfect lunch ' want lug leftover around 
31,22,21,1.0,what mess been line hour still 10 people front should ' stick company i usually use .... next counter two came base sw airlines suggestion email ugh 
33,13,12,1.0,at least pinks concession stand section 3 unqualified server ' tell ' take cash - seriously ' take cash then manager ' even take cash another register the line stupid long worker incapable handle slightest issue i sit upstairs next time i come knights game 
34,8,8,4.0,note : 1 visit breakfast / lunch overall : excellent high - end buffet dessert section need little work highlight : - dip foccacia pizza chimichurri sauce ' best pizza ' ever - prime rib excellent - i hate crab leg general everyone else say great really fresh - cookies you must try cooky i get lucky grab white chocolate macadamia cooky still warm crispy side chewy mouth - wateringly good i mean i stuff beyond belief i ' stop eat - if get breakfast time try portuguese sausage it ' breakfast food really worth avoid : - gelato bar look good texture like soft serve dairy queen ( i hate ) so disappoint - shrimp pad thai serve ice cold so gross 
35,11,10,4.0,great cocktail good food overall first class restaurant 
36,37,35,4.0,absolutely complaint stayed bella suite view it fantastic room ; amaze service friendly staff the reason ' get 5 star room service yeah yeah i know expect pay higher price room service food $ 34 hot tea doughnut ( ouch !) they charge $ 5 room service i think free 
37,28,27,4.0,i visit place several time they great happy hour price regular menu price reasonable their entree big enough share favorite fish taco they tend get pretty busy friday night sometimes bite wait overall thumb 
40,29,28,1.0,the location excellent restaurant beautiful the food awful server rude impolite we group 6 people whatever order worse another one even little daughter love french fry ' eat ' fresh think artificial !!! 
42,30,29,5.0,juan ' always busy ' always good it ' great food excellent friendly service keep people come back i ' dozen time ... date night family kid girl night always wonderful try shrimp ceviche 
45,46,44,4.0,"had fantastic experience din olive & ivy believe even thoroughly enjoy din outside august scottsdale swelter - mist system work amazingly well went daughter two friend - i totally love place i like high ceiling cozy decor light marketplace feel interior ... because numerous raf yelp order bacon wrap date appetizer it ' true totally fabulous - miss i chicken scaloppini delicious - perfectly prepare serve right amount sauce mediterranean olive the girl order pasta dish - rave subsequently demolish there ' one crumb food leave anyone ' plate the focaccia bread pesto wonderful great wine list i glass syrah washington state thankfully serve right temperature nicely balance we celebrate one daughter ' friend ' birthday delightful waiter bring u complimentary dessert - ice cream bar ,"" ice cream marshmallow lot rich luscious chocolate it totally delicious remind u ' olive & ivy nice place people watch - patio front waterfront remind sidewalk cafe europe i definitely back - wish olive & ivy tucson "
46,44,42,3.0,place okay ... sangria i watery & unflavorful get buzz that part point drink i like craftily concoct cocktail elixir & one but ( i ' use lot buts ...) unchicken & waffle quite okay they use veggie meat & quite good job make like chicken since i ' roscoe ' cause i ' veggie spot trick if roscoe ' europe would different story ... it hit spot came sweet potato mash collard green side it super healthy no crazy amount butter oil yet taste amaze but definitely could use side syrup what ' nearly sufficient enough the atmosphere like very cafe - like crowd but ' alright spot i may may go back 
47,43,41,4.0,very simple yet tasty wrap corn chowder soup ok ravi soup great lot authentic indian spice 
50,35,33,5.0,a wonderful dinner experience hubby i come couple month ago first time sushi samba we ' reservation able seat u sushi bar we a5 wagyu gyoza tender overdo tuna tataki chicken samba good size portion el topo roll chef sashimi selection tonkotsu ramen everything order super yummy definitely come back next time ' town !! i would recommend make reservation next time sushi bar kind tight order good amount food much room 
51,24,23,5.0,go seriously you disappoint one bite we crave breakfast food decide check place we share skillet breakfast side cook perfection super tasty the atmosphere cute clean want enjoy breakfast what really make day awesome server tina she cool upbeat easy talk accommodate server could ever hope we plan return good eat see tina :) 
52,42,40,5.0,this one favorite place eat the food delicious fresh almost everything make tofu substitute the owner friendly food truly superb 
53,47,35,5.0,stay hotel visit hotel shop beautiful place !!!! crowd quiet peaceful ... i love place this hotel locate strip north end .. it ' le crowd north mall right across street this hotel many high end store shop lv cartier etc regular mall across street macy ' forever 21 etc .. the gondola ride nice short !! ' 19 95 person ' 10mins long they stay door door gondola i hear door better night light great overall experience wonderful restaurant awesome shop .. 
56,49,24,2.0,having din many vegas buffet ( wynn paris mirage etc .) i find underwhelmed everyone raf bellagio buffet i keep wish i go wynn the decor decent quality food good ' much assortment i go 4th july brunch around 11 : 30am sushi bar ' open single pasta dish slice meat i get fatty veiny drink take 20 + minute arrive i say fruit fresh yummy ( melon berry etc .) dessert good ' enough make want come back ever 
57,55,52,5.0,amazing burgers the combination ingredient fantabulous it ' difficult favorite yes i ' every item menu 
